crash_id,crash_datetime,crash_date,latitude,longitude,n_crash_reports,contains_fatality_words,contains_pedestrian_words,contains_matatu_words,contains_motorcycle_words,hour,month,year,day_of_week,severity,road_user_type
190,2018-06-30 15:12:00,2018-06-30,-1.2184465,36.892509,1,0,0,0,0,15,6,2018,Saturday,Non-Fatal,Other
191,2018-06-30 16:07:00,2018-06-30,-1.210902,36.907413,1,0,0,0,0,16,6,2018,Saturday,Non-Fatal,Other
192,2018-07-01 07:18:00,2018-07-01,-1.259024,36.778396,1,0,0,0,0,7,7,2018,Sunday,Non-Fatal,Other
193,2018-07-01 17:58:00,2018-07-01,-1.259304,36.7858145,1,0,0,0,0,17,7,2018,Sunday,Non-Fatal,Other
194,2018-07-01 21:40:00,2018-07-01,-1.2046095,36.77569,1,0,0,0,0,21,7,2018,Sunday,Non-Fatal,Other
195,2018-07-01 23:56:00,2018-07-01,-1.3251365,36.8487345,1,0,0,0,0,23,7,2018,Sunday,Non-Fatal,Other
196,2018-07-02 05:23:00,2018-07-02,-1.3301285,36.8709395,1,0,0,0,0,5,7,2018,Monday,Non-Fatal,Other
197,2018-07-02 07:00:00,2018-07-02,-1.227172,36.8858135,1,0,0,0,0,7,7,2018,Monday,Non-Fatal,Other
198,2018-07-02 07:09:00,2018-07-02,-1.477136,37.038044,1,1,0,0,0,7,7,2018,Monday,Fatal,Other
199,2018-07-02 07:52:00,2018-07-02,-1.3235715,36.8478045,1,0,0,0,0,7,7,2018,Monday,Non-Fatal,Other
200,2018-07-03 07:18:00,2018-07-03,-1.280503,36.814531,1,0,0,0,0,7,7,2018,Tuesday,Non-Fatal,Other
